timestamp,q_w,q_x,q_y,q_z
1753485318677353,0.95634127,-0.23756613,0.047039356,0.16358817
1753485318687277,0.95633954,-0.23757501,0.047040075,0.16358532
1753485318697269,0.95633847,-0.23758139,0.047047045,0.1635799
1753485318707216,0.9563377,-0.23758493,0.04704269,0.16358124
1753485318717231,0.95633733,-0.2375875,0.047043987,0.16357914
1753485318727164,0.9563377,-0.23758747,0.047043987,0.16357705
1753485318737144,0.95633817,-0.23758486,0.047041893,0.16357824
1753485318747127,0.9563384,-0.23758306,0.047038518,0.16358024
1753485318757111,0.9563391,-0.23757938,0.047044087,0.16358006
1753485318767026,0.9563401,-0.23757759,0.047047455,0.1635762
1753485318780704,0.95634013,-0.23758325,0.04704567,0.16356817
1753485318786999,0.9563392,-0.23759027,0.04704558,0.16356345
1753485318797007,0.95633864,-0.23759416,0.047038864,0.16356272
1753485318806902,0.95633954,-0.23759215,0.047041073,0.16356005
1753485318816940,0.9563397,-0.23758695,0.04704324,0.16356567
1753485318826842,0.95634097,-0.23758629,0.047044527,0.16355908
1753485318836801,0.95634156,-0.23758893,0.04704548,0.16355132
1753485318846802,0.956341,-0.23759636,0.047045983,0.1635436
1753485318856749,0.9563404,-0.23760533,0.047045413,0.1635345
1753485318866727,0.9563419,-0.23760858,0.04704346,0.16352189
1753485318876674,0.95634055,-0.23761259,0.0470414,0.16352452
1753485318886658,0.95633906,-0.23761576,0.047043398,0.16352817
1753485318896643,0.9563386,-0.23761436,0.047048558,0.16353136
1753485318906597,0.9563392,-0.23761697,0.047051083,0.16352348
1753485318916575,0.95633835,-0.23762496,0.047053955,0.16351567
1753485318926592,0.9563382,-0.23763311,0.047049478,0.1635056
1753485318936508,0.9563395,-0.23763694,0.047038928,0.16349585
1753485318950247,0.9563396,-0.23764285,0.047032084,0.16348921
1753485318956452,0.95633936,-0.23764269,0.047032382,0.16348991
1753485318966504,0.95633775,-0.23764393,0.047041308,0.16349505
1753485318976386,0.9563389,-0.23764181,0.047048133,0.16348973
1753485318990064,0.95634,-0.23763905,0.047052156,0.16348585
1753485318996314,0.95634043,-0.23764133,0.047054425,0.16347896
1753485319006321,0.9563422,-0.23764044,0.047053106,0.16347069
1753485319016252,0.956344,-0.2376403,0.04704576,0.16346247
1753485319026189,0.95634556,-0.23763873,0.04704328,0.16345643
1753485319036234,0.9563452,-0.23764203,0.047045525,0.1634529
1753485319046131,0.95634544,-0.23764095,0.047054116,0.16345063
1753485319056121,0.9563464,-0.23763524,0.047060292,0.16345151
1753485319066064,0.9563469,-0.23763506,0.04706483,0.16344729
1753485319074767,0.9563467,-0.23763648,0.047062453,0.1634477
1753485319086003,0.9563471,-0.2376425,0.047055148,0.16343854
1753485319095994,0.95634824,-0.23764516,0.04705496,0.1634282
1753485319105940,0.9563483,-0.23764862,0.0470531,0.1634228
1753485319115931,0.95635015,-0.23764521,0.04705093,0.16341762
1753485319125893,0.95635116,-0.23764034,0.047053523,0.16341831
1753485319139562,0.95635206,-0.23763746,0.047056556,0.16341624
1753485319145836,0.95635223,-0.23763685,0.047059525,0.16341572
1753485319159502,0.95635253,-0.23763858,0.047061946,0.16341048
1753485319165751,0.9563518,-0.23764654,0.04705528,0.16340499
1753485319175813,0.95635134,-0.23765238,0.047049284,0.163401
1753485319185683,0.9563516,-0.23765393,0.047047894,0.16339774
1753485319195709,0.95635027,-0.23765928,0.047051106,0.16339631
1753485319205688,0.95635074,-0.2376563,0.047050856,0.16339836
1753485319215582,0.9563516,-0.23765394,0.04705206,0.16339657
1753485319224312,0.95635235,-0.23765074,0.04705216,0.16339654
1753485319235528,0.95635337,-0.23765284,0.047041748,0.16339046
1753485319250464,0.9563552,-0.23765373,0.04703378,0.16338104
1753485319255459,0.95635504,-0.2376561,0.047032908,0.16337845
1753485319264196,0.95635504,-0.23766048,0.04703069,0.16337334
1753485319275397,0.9563542,-0.23766567,0.047038913,0.16336814
1753485319285416,0.9563546,-0.23766562,0.04704398,0.16336454
1753485319295334,0.9563565,-0.23766218,0.047046747,0.16335742
1753485319305338,0.9563559,-0.23766714,0.04704907,0.16335304
1753485319315307,0.9563563,-0.23767067,0.047048032,0.16334608
1753485319325275,0.95635587,-0.23767826,0.047045093,0.1633381
1753485319335211,0.9563568,-0.23767677,0.047045194,0.1633346
1753485319348887,0.95635754,-0.23767513,0.047047384,0.163332
1753485319355145,0.9563579,-0.23767175,0.047051575,0.16333388
1753485319365182,0.95635724,-0.23767072,0.047056735,0.1633377
1753485319375089,0.9563566,-0.23767537,0.047058664,0.16333424
1753485319385113,0.9563571,-0.2376753,0.047063246,0.16332977
1753485319395033,0.9563569,-0.23767902,0.047061935,0.16332571
1753485319404995,0.9563567,-0.2376829,0.04706001,0.16332191
1753485319414972,0.95635617,-0.2376806,0.04706209,0.16332777
1753485319424948,0.9563569,-0.23767556,0.04706766,0.1633294
1753485319434889,0.95635813,-0.237666,0.047077246,0.163333
1753485319444863,0.95635957,-0.23765612,0.047088258,0.16333626
1753485319454885,0.9563602,-0.2376523,0.04709416,0.16333629
1753485319464827,0.9563608,-0.23765118,0.047093254,0.16333437
1753485319474810,0.9563614,-0.2376489,0.047089167,0.16333553
1753485319484759,0.95636356,-0.23764184,0.047085762,0.16333438
1753485319494750,0.956365,-0.2376377,0.047088988,0.16333081
1753485319504698,0.95636576,-0.23763555,0.047096048,0.16332704
1753485319514687,0.956367,-0.23763034,0.04710528,0.16332518
1753485319524631,0.9563684,-0.23762532,0.047110077,0.1633228
1753485319534721,0.95636857,-0.23762725,0.047113158,0.1633185
1753485319544564,0.9563687,-0.23763181,0.04711072,0.16331163
1753485319554560,0.95636994,-0.23763253,0.047107246,0.16330428
1753485319564518,0.9563719,-0.23763032,0.047104195,0.16329686
1753485319574511,0.95637184,-0.2376339,0.047106445,0.16329136
1753485319584439,0.956371,-0.23763765,0.047111616,0.16328964
1753485319594429,0.9563712,-0.23763624,0.047119994,0.16328816
1753485319604373,0.95637125,-0.23763664,0.047128264,0.16328442
1753485319614319,0.95637214,-0.23763952,0.0471285,0.16327494
1753485319624312,0.9563717,-0.2376471,0.047119953,0.1632692
