timestamp,q_w,q_x,q_y,q_z
1753485318639096,0.994407,-0.10561598,0.0,0.0
1753485318738882,0.99226946,-0.12410209,0.0,0.0
1753485318838968,0.9914449,-0.13052605,0.0,0.0
1753485318938900,0.9922525,-0.12423728,0.0,0.0
1753485319038907,0.99438477,-0.10582502,0.0,0.0
1753485319138904,0.9970283,-0.07703663,0.0,0.0
1753485319239029,0.9991753,-0.040603574,0.0,0.0
1753485319338949,1.0,-0.00020295454,0.0,0.0
1753485319439021,0.99918866,0.040274493,0.0,0.0
1753485319538898,0.997055,0.07668983,0.0,0.0
1753485319638879,0.9944116,0.10557297,0.0,0.0
1753485319738915,0.99226874,0.12410802,0.0,0.0
1753485319839142,0.9914449,0.13052613,0.0,0.0
1753485319938982,0.9922536,0.12422863,0.0,0.0
1753485320038900,0.99438465,0.10582628,0.0,0.0
1753485320139123,0.99703306,0.07697429,0.0,0.0
1753485320238994,0.9991749,0.04061503,0.0,0.0
1753485320338890,1.0,0.00022275974,0.0,0.0
1753485320438887,0.9991905,-0.0402277,0.0,0.0
1753485320538902,0.99705505,-0.07668912,0.0,0.0
1753485320638853,0.9944124,-0.10556499,0.0,0.0
1753485320738878,0.99226946,-0.12410218,0.0,0.0
1753485320838896,0.9914449,-0.130526,0.0,0.0
1753485320938843,0.9922516,-0.12424502,0.0,0.0
1753485321038868,0.9943835,-0.10583685,0.0,0.0
1753485321138920,0.9970284,-0.077034496,0.0,0.0
1753485321238910,0.9991738,-0.040641382,0.0,0.0
1753485321338908,1.0,-0.00021256301,0.0,0.0
1753485321438921,0.99919003,0.04024019,0.0,0.0
1753485321538870,0.9970558,0.07667883,0.0,0.0
1753485321638889,0.9944116,0.105572455,0.0,0.0
1753485321738928,0.9922687,0.12410846,0.0,0.0
1753485321838990,0.9914449,0.13052607,0.0,0.0
1753485321939005,0.9922537,0.1242277,0.0,0.0
1753485322039127,0.99438965,0.10577903,0.0,0.0
1753485322139085,0.99703205,0.07698741,0.0,0.0
1753485322238909,0.9991739,0.04064008,0.0,0.0
1753485322338892,1.0,0.00021687702,0.0,0.0
1753485322439043,0.99918836,-0.0402813,0.0,0.0
1753485322538979,0.9970534,-0.07671105,0.0,0.0
1753485322638914,0.99441093,-0.105579,0.0,0.0
